time,Time,Referencevalues 
2022-11-02T15:21:53+05:30,15:21:53,882
2022-11-02T15:22:44+05:30,15:22:44,914
2022-11-02T15:23:35+05:30,15:23:35,922
2022-11-02T15:24:26+05:30,15:24:26,924
2022-11-02T15:25:16+05:30,15:25:16,932
2022-11-02T15:26:07+05:30,15:26:07,936
2022-11-02T15:26:58+05:30,15:26:58,960
2022-11-02T15:27:50+05:30,15:27:50,972
2022-11-02T15:28:42+05:30,15:28:42,986
2022-11-02T15:29:35+05:30,15:29:35,988
2022-11-02T15:30:25+05:30,15:30:25,998
2022-11-02T15:31:16+05:30,15:31:16,1012
2022-11-02T15:32:07+05:30,15:32:07,984
2022-11-02T15:32:58+05:30,15:32:58,988
2022-11-02T15:33:48+05:30,15:33:48,988
2022-11-02T15:34:39+05:30,15:34:39,1006
2022-11-02T15:35:30+05:30,15:35:30,1054
2022-11-02T15:36:21+05:30,15:36:21,1052
2022-11-02T15:37:12+05:30,15:37:12,1054
2022-11-02T15:38:03+05:30,15:38:03,1062
2022-11-02T15:38:54+05:30,15:38:54,1048
2022-11-02T15:39:45+05:30,15:39:45,1062
2022-11-02T15:40:40+05:30,15:40:40,1070
2022-11-02T15:41:33+05:30,15:41:33,1112
2022-11-02T15:42:23+05:30,15:42:23,1142
2022-11-02T15:43:14+05:30,15:43:14,1094
2022-11-02T15:44:05+05:30,15:44:05,1184
2022-11-02T15:44:56+05:30,15:44:56,1288
2022-11-02T15:45:47+05:30,15:45:47,1190
2022-11-02T15:46:37+05:30,15:46:37,1174
2022-11-02T15:47:29+05:30,15:47:29,1216
2022-11-02T15:48:20+05:30,15:48:20,1210
2022-11-02T15:49:11+05:30,15:49:11,1216
2022-11-02T15:50:02+05:30,15:50:02,1244
2022-11-02T15:50:55+05:30,15:50:55,1262
2022-11-02T15:51:45+05:30,15:51:45,1286
2022-11-02T15:53:32+05:30,15:53:32,1234
2022-11-02T15:54:25+05:30,15:54:25,1200
2022-11-02T15:55:17+05:30,15:55:17,1148
2022-11-02T15:56:08+05:30,15:56:08,1180
2022-11-02T15:56:59+05:30,15:56:59,1234
2022-11-02T15:57:52+05:30,15:57:52,1228
2022-11-02T15:58:45+05:30,15:58:45,1190
2022-11-02T15:59:36+05:30,15:59:36,1178
2022-11-02T16:00:30+05:30,16:00:30,1190
2022-11-02T16:01:21+05:30,16:01:21,1202
2022-11-02T16:02:13+05:30,16:02:13,1212
2022-11-02T16:03:03+05:30,16:03:03,1206
2022-11-02T16:03:54+05:30,16:03:54,1220
2022-11-02T16:04:45+05:30,16:04:45,1240
2022-11-02T16:05:36+05:30,16:05:36,1266
2022-11-02T16:06:27+05:30,16:06:27,1246
2022-11-02T16:07:17+05:30,16:07:17,1206
2022-11-02T16:08:08+05:30,16:08:08,1176
2022-11-02T16:08:59+05:30,16:08:59,1178
2022-11-02T16:09:52+05:30,16:09:52,1200
2022-11-02T16:10:43+05:30,16:10:43,1234
2022-11-02T16:11:33+05:30,16:11:33,1184
2022-11-02T16:12:24+05:30,16:12:24,1184
2022-11-02T16:13:15+05:30,16:13:15,1218
2022-11-02T16:14:07+05:30,16:14:07,1216
2022-11-02T16:14:59+05:30,16:14:59,1202
2022-11-02T16:15:51+05:30,16:15:51,1232
2022-11-02T16:16:42+05:30,16:16:42,1222
2022-11-02T16:17:34+05:30,16:17:34,1186
2022-11-02T16:18:25+05:30,16:18:25,1204
2022-11-02T16:19:17+05:30,16:19:17,1200
2022-11-02T16:20:10+05:30,16:20:10,1180
2022-11-02T16:21:00+05:30,16:21:00,1226
2022-11-02T16:21:51+05:30,16:21:51,1232
2022-11-02T16:22:43+05:30,16:22:43,1210
2022-11-02T16:23:34+05:30,16:23:34,1192
2022-11-02T16:24:24+05:30,16:24:24,1154
2022-11-02T16:25:20+05:30,16:25:20,1158
2022-11-02T16:26:12+05:30,16:26:12,1220
2022-11-02T16:27:03+05:30,16:27:03,1188
2022-11-02T16:27:54+05:30,16:27:54,1146
2022-11-02T16:28:46+05:30,16:28:46,1130
2022-11-02T16:29:37+05:30,16:29:37,1152
2022-11-02T16:30:28+05:30,16:30:28,1136
2022-11-02T16:31:19+05:30,16:31:19,1132
2022-11-02T16:32:10+05:30,16:32:10,1164
2022-11-02T16:33:00+05:30,16:33:00,1152
2022-11-02T16:33:51+05:30,16:33:51,1134
2022-11-02T16:34:42+05:30,16:34:42,1108
2022-11-02T16:35:33+05:30,16:35:33,1096
2022-11-02T16:36:25+05:30,16:36:25,1106
2022-11-02T16:37:15+05:30,16:37:15,1118
2022-11-02T16:38:06+05:30,16:38:06,1138
2022-11-02T16:38:57+05:30,16:38:57,1108
2022-11-02T16:39:48+05:30,16:39:48,1054
2022-11-02T16:40:39+05:30,16:40:39,1038
2022-11-02T16:41:29+05:30,16:41:29,1058
2022-11-02T16:42:20+05:30,16:42:20,1064
2022-11-02T16:43:11+05:30,16:43:11,1064
2022-11-02T16:44:02+05:30,16:44:02,1030
2022-11-02T16:44:53+05:30,16:44:53,1006
2022-11-02T16:45:43+05:30,16:45:43,982
2022-11-02T16:46:34+05:30,16:46:34,978
2022-11-02T16:47:26+05:30,16:47:26,970
2022-11-02T16:48:17+05:30,16:48:17,956
2022-11-02T16:49:08+05:30,16:49:08,968
2022-11-02T16:49:59+05:30,16:49:59,970
2022-11-02T16:50:50+05:30,16:50:50,962
2022-11-02T16:51:42+05:30,16:51:42,984
2022-11-02T16:52:33+05:30,16:52:33,976
2022-11-02T16:53:24+05:30,16:53:24,934
2022-11-02T16:54:14+05:30,16:54:14,954
2022-11-02T16:55:05+05:30,16:55:05,964
2022-11-02T16:55:56+05:30,16:55:56,960
2022-11-02T16:56:47+05:30,16:56:47,934
2022-11-02T16:57:38+05:30,16:57:38,956
2022-11-02T16:58:29+05:30,16:58:29,962
2022-11-02T16:59:22+05:30,16:59:22,954
